candidate_id,resume_file_name,candidate_name,primary_domain,primary_role,years_experience,highest_education,education_field,institution_tier,technical_skills_raw,tools_platforms_raw,soft_skills_raw,experience_summary,project_summary,key_achievements,management_experience_flag,people_management_flag,project_management_experience_flag,agile_scrum_experience_flag,client_facing_experience_flag,delivery_lead_experience_flag,cloud_experience_flag,ml_experience_flag,compliance_experience_flag,enterprise_systems_experience_flag,offshore_onsite_model_experience_flag,multi_vendor_coordination_flag,process_compliance_experience_flag,documentation_heavy_role_flag,mentoring_experience_flag,stakeholder_management_experience_flag,resume_length_words,keyword_density_score,profile_completeness_score
CND_100028,IT_candidate_28.pdf,Candidate_28,IT,Junior Software Engineer,1,Bachelors,Computer Science,Tier-3,"AWS, SQL, Java, Kubernetes","GCP, Azure","Communication, Problem Solving","Over 1 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Led implementation of it projects for enterprise clients, focusing on scalability, stability and performance.","Contributed to 12% improvement in key KPIs such as throughput, response time or customer satisfaction.",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,55,0.87,0.58
CND_100029,DevOpsEngineer_29.pdf,Candidate_29,IT,DevOps Engineer,9,MBA,Computer Science,Tier-3,"Kubernetes, Git, AWS, Linux","GCP, Confluence","Teamwork, Communication","Hands-on it professional with 9+ years of end-to-end delivery experience spanning design, development, testing and release.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Improved process efficiency by 14% and helped reduce incidents or defects through better practices.,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,54,0.3,0.55
CND_100030,DevOpsEngineer_30.pdf,Candidate_30,IT,DevOps Engineer,10,MBA,Computer Science,Tier-2,"AWS, Python, Java, Docker","GCP, Confluence","Leadership, Client Handling","10+ years of experience in it roles, working across multiple projects from requirements analysis to deployment and post-production support.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Supported initiatives that increased team productivity by 22% and reduced rework or delays.,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,57,0.64,0.88
CND_100031,resume_31_Compliance_Officer.pdf,Candidate_31,Legal,Compliance Officer,4,MBA,Law,Tier-3,"Due Diligence, Legal Research, Compliance, Contract Drafting","AWS, Jira","Problem Solving, Teamwork","4+ years of experience in legal roles, working across multiple projects from requirements analysis to deployment and post-production support.","Led implementation of legal projects for enterprise clients, focusing on scalability, stability and performance.",Supported initiatives that increased team productivity by 22% and reduced rework or delays.,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,58,0.54,0.66
CND_100032,profile_32.pdf,Candidate_32,Management,Management Consultant,16,MBA,Business Administration,Tier-1,"Risk Management, Strategy, Stakeholder Management, Agile","Jira, ServiceNow","Problem Solving, Client Handling","Hands-on management professional with 16+ years of end-to-end delivery experience spanning design, development, testing and release.","Led implementation of management projects for enterprise clients, focusing on scalability, stability and performance.",Improved process efficiency by 37% and helped reduce incidents or defects through better practices.,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,56,0.68,0.77
CND_100033,SoftwareEngineer_33.pdf,Candidate_33,IT,Software Engineer,8,MBA,Information Technology,Tier-1,"Linux, SQL, Kubernetes, Python","ServiceNow, Jira","Communication, Teamwork","Hands-on it professional with 8+ years of end-to-end delivery experience spanning design, development, testing and release.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Supported initiatives that increased team productivity by 23% and reduced rework or delays.,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,53,0.55,0.6
CND_100034,profile_34.pdf,Candidate_34,HR,Talent Acquisition Specialist,7,Bachelors,Psychology,Tier-3,"Employee Engagement, Payroll, Recruitment, HR Analytics","Confluence, ServiceNow","Leadership, Communication","Over 7 years delivering solutions in hr, collaborating with cross-functional teams and stakeholders to meet business goals.","Worked on multiple hr initiatives including migrations, enhancements and greenfield builds.",Supported initiatives that increased team productivity by 29% and reduced rework or delays.,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,51,0.9,0.75
CND_100035,IT_candidate_35.pdf,Candidate_35,IT,DevOps Engineer,10,LLM,Computer Science,Tier-1,"SQL, Docker, AWS, Linux","Azure, Confluence","Client Handling, Leadership","Over 10 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Led implementation of it projects for enterprise clients, focusing on scalability, stability and performance.",Supported initiatives that increased team productivity by 28% and reduced rework or delays.,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,53,0.33,0.94
CND_100036,IT_candidate_36.pdf,Candidate_36,IT,Junior Software Engineer,4,MBA,Information Technology,Tier-1,"Java, AWS, Kubernetes, Python","Jira, GCP","Problem Solving, Client Handling","Hands-on it professional with 4+ years of end-to-end delivery experience spanning design, development, testing and release.","Led implementation of it projects for enterprise clients, focusing on scalability, stability and performance.",Supported initiatives that increased team productivity by 29% and reduced rework or delays.,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,53,0.65,0.64
CND_100037,Data Science_candidate_37.pdf,Candidate_37,Data Science,Data Scientist,6,Masters,Statistics,Tier-1,"Pandas, Python, TensorFlow, Power BI","GCP, AWS","Communication, Problem Solving","6+ years of experience in data science roles, working across multiple projects from requirements analysis to deployment and post-production support.","Worked on multiple data science initiatives including migrations, enhancements and greenfield builds.","Contributed to 30% improvement in key KPIs such as throughput, response time or customer satisfaction.",0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,57,0.36,0.58
CND_100038,Legal_candidate_38.pdf,Candidate_38,Legal,Corporate Lawyer,10,MBA,Law,Tier-2,"Compliance, Contract Drafting, Due Diligence, Legal Research","GCP, Confluence","Leadership, Communication","Over 10 years delivering solutions in legal, collaborating with cross-functional teams and stakeholders to meet business goals.","Worked on multiple legal initiatives including migrations, enhancements and greenfield builds.","Contributed to 45% improvement in key KPIs such as throughput, response time or customer satisfaction.",1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,54,0.8,0.59
CND_100039,SeniorSoftwareEngineer_39.pdf,Candidate_39,IT,Senior Software Engineer,17,MBA,Computer Science,Tier-3,"AWS, SQL, Docker, Python","ServiceNow, AWS","Teamwork, Client Handling","Over 17 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Led implementation of it projects for enterprise clients, focusing on scalability, stability and performance.",Improved process efficiency by 30% and helped reduce incidents or defects through better practices.,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,54,0.67,0.67
CND_100040,profile_40.pdf,Candidate_40,IT,DevOps Engineer,8,Bachelors,Computer Science,Tier-1,"Docker, Python, Linux, SQL","GCP, Confluence","Teamwork, Problem Solving","8+ years of experience in it roles, working across multiple projects from requirements analysis to deployment and post-production support.","Worked on multiple it initiatives including migrations, enhancements and greenfield builds.","Contributed to 38% improvement in key KPIs such as throughput, response time or customer satisfaction.",1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,54,0.81,0.84
CND_100041,SeniorProjectManager_41.pdf,Candidate_41,Management,Senior Project Manager,9,Bachelors,Business Administration,Tier-2,"Risk Management, Strategy, Stakeholder Management, Agile","ServiceNow, GCP","Communication, Leadership","Over 9 years delivering solutions in management, collaborating with cross-functional teams and stakeholders to meet business goals.","Led implementation of management projects for enterprise clients, focusing on scalability, stability and performance.","Contributed to 43% improvement in key KPIs such as throughput, response time or customer satisfaction.",1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,56,0.67,0.6
CND_100042,IT_candidate_42.pdf,Candidate_42,IT,Junior Software Engineer,3,,Information Technology,Tier-2,"Linux, Python, Git, Java","ServiceNow, Confluence","Client Handling, Leadership","Over 3 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.","Contributed to 14% improvement in key KPIs such as throughput, response time or customer satisfaction.",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,57,0.87,0.89
CND_100043,FullStackDeveloper_43.pdf,Candidate_43,IT,Full Stack Developer,8,Bachelors,Computer Science,Tier-1,"SQL, Python, Kubernetes, Docker","ServiceNow, Azure","Teamwork, Communication","8+ years of experience in it roles, working across multiple projects from requirements analysis to deployment and post-production support.","Worked on multiple it initiatives including migrations, enhancements and greenfield builds.",Improved process efficiency by 23% and helped reduce incidents or defects through better practices.,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,52,0.46,0.61
CND_100044,Legal_candidate_44.pdf,Candidate_44,Legal,Legal Associate,3,Bachelors,Law,Tier-2,"Compliance, Contract Drafting, Due Diligence, Legal Research","Azure, Confluence","Problem Solving, Communication","3+ years of experience in legal roles, working across multiple projects from requirements analysis to deployment and post-production support.","Worked on multiple legal initiatives including migrations, enhancements and greenfield builds.",Improved process efficiency by 11% and helped reduce incidents or defects through better practices.,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,56,0.58,0.59
CND_100045,DevOpsEngineer_45.pdf,Candidate_45,IT,DevOps Engineer,3,MBA,Information Technology,Tier-3,"AWS, Kubernetes, SQL, Python","Jira, ServiceNow","Communication, Teamwork","Over 3 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Improved process efficiency by 17% and helped reduce incidents or defects through better practices.,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,55,0.59,0.73
CND_100046,DataAnalyst_46.pdf,Candidate_46,Data Science,Data Analyst,4,LLM,Data Science,Tier-1,"Power BI, Pandas, SQL, Machine Learning","Jira, ServiceNow","Communication, Problem Solving","Over 4 years delivering solutions in data science, collaborating with cross-functional teams and stakeholders to meet business goals.","Worked on multiple data science initiatives including migrations, enhancements and greenfield builds.","Contributed to 24% improvement in key KPIs such as throughput, response time or customer satisfaction.",0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,56,0.73,0.7
CND_100047,resume_47_Junior_Software_Engineer.pdf,Candidate_47,IT,Junior Software Engineer,3,MBA,Information Technology,Tier-2,"Java, Kubernetes, Docker, Git","GCP, AWS","Teamwork, Leadership","3+ years of experience in it roles, working across multiple projects from requirements analysis to deployment and post-production support.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Improved process efficiency by 38% and helped reduce incidents or defects through better practices.,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,57,0.62,0.87
CND_100048,HRExecutive_48.pdf,Candidate_48,HR,HR Executive,3,LLM,Psychology,Tier-2,"HRMS, Recruitment, HR Analytics, Payroll","ServiceNow, Jira","Communication, Leadership","Hands-on hr professional with 3+ years of end-to-end delivery experience spanning design, development, testing and release.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Improved process efficiency by 9% and helped reduce incidents or defects through better practices.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,55,0.72,0.86
CND_100049,resume_49_Data_Analyst.pdf,Candidate_49,Data Science,Data Analyst,3,MBA,Mathematics,Tier-3,"Machine Learning, Power BI, SQL, Python","Jira, ServiceNow","Problem Solving, Leadership","Hands-on data science professional with 3+ years of end-to-end delivery experience spanning design, development, testing and release.","Led implementation of data science projects for enterprise clients, focusing on scalability, stability and performance.","Contributed to 30% improvement in key KPIs such as throughput, response time or customer satisfaction.",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,58,0.45,0.64
CND_100050,profile_50.pdf,Candidate_50,Management,Project Coordinator,1,Bachelors,Management,Tier-2,"Stakeholder Management, Risk Management, Strategy, Agile","Jira, Azure","Leadership, Client Handling","Hands-on management professional with 1+ years of end-to-end delivery experience spanning design, development, testing and release.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Supported initiatives that increased team productivity by 22% and reduced rework or delays.,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,56,0.85,0.89
CND_100051,Data Science_candidate_51.pdf,Candidate_51,Data Science,ML Engineer,9,Bachelors,Statistics,Tier-1,"NLP, Python, TensorFlow, Pandas","ServiceNow, GCP","Communication, Client Handling","9+ years of experience in data science roles, working across multiple projects from requirements analysis to deployment and post-production support.","Led implementation of data science projects for enterprise clients, focusing on scalability, stability and performance.",Supported initiatives that increased team productivity by 35% and reduced rework or delays.,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,57,0.47,0.62
CND_100052,profile_52.pdf,Candidate_52,IT,Junior Software Engineer,2,MBA,Computer Science,Tier-3,"SQL, Docker, Linux, Java","ServiceNow, AWS","Leadership, Client Handling","Over 2 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.","Contributed to 45% improvement in key KPIs such as throughput, response time or customer satisfaction.",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,57,0.45,0.66
CND_100053,resume_53_DevOps_Engineer.pdf,Candidate_53,IT,DevOps Engineer,4,LLM,Computer Science,Tier-2,"AWS, Kubernetes, Git, Python","AWS, Confluence","Teamwork, Client Handling","Over 4 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Supported initiatives that increased team productivity by 43% and reduced rework or delays.,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,55,0.58,0.93
CND_100054,profile_54.pdf,Candidate_54,IT,Senior Software Engineer,19,Bachelors,Information Technology,Tier-3,"Jaav, AWS, SQL, Linux","GCP, ServiceNow","Problem Solving, Client Handling","Over 19 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Worked on multiple it initiatives including migrations, enhancements and greenfield builds.",Supported initiatives that increased team productivity by 11% and reduced rework or delays.,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,51,0.8,0.94
CND_100055,resume_55_Junior_Data_Scientist.pdf,Candidate_55,Data Science,Junior Data Scientist,3,LLM,Data Science,Tier-1,"Python, SQL, Machine Learning, NLP","ServiceNow, AWS","Problem Solving, Client Handling","Hands-on data science professional with 3+ years of end-to-end delivery experience spanning design, development, testing and release.","Worked on multiple data science initiatives including migrations, enhancements and greenfield builds.",Supported initiatives that increased team productivity by 16% and reduced rework or delays.,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,53,0.87,0.69
